time [s], mxb, myb, mzb, sxb, syb, szb
5.100000e+00, 2.643788e-01, -2.169416e-01, -9.397022e-01, -8.344113e-01, 4.319066e-01, -3.423659e-01
5.200000e+00, 3.409299e-01, -4.071241e-01, -8.473587e-01, -5.882831e-01, 6.034759e-01, -5.382748e-01
5.300000e+00, 3.562319e-01, -5.927000e-01, -7.223611e-01, -2.710248e-01, 6.716606e-01, -6.895053e-01
5.400000e+00, 2.791463e-01, -7.476840e-01, -6.025330e-01, 7.453709e-02, 6.271181e-01, -7.753497e-01
5.500000e+00, 1.312736e-01, -8.735924e-01, -4.686188e-01, 4.002433e-01, 4.753447e-01, -7.834875e-01
5.600000e+00, -5.074314e-02, -9.257576e-01, -3.746972e-01, 6.592144e-01, 2.392065e-01, -7.128931e-01
5.700000e+00, -2.629630e-01, -9.165476e-01, -3.013155e-01, 8.178616e-01, -5.017316e-02, -5.732234e-01
5.800000e+00, -4.688365e-01, -8.352726e-01, -2.872488e-01, 8.534787e-01, -3.521619e-01, -3.841304e-01
5.900000e+00, -6.464002e-01, -6.943624e-01, -3.162716e-01, 7.614637e-01, -6.250875e-01, -1.715768e-01
6, -7.542984e-01, -5.224223e-01, -3.976290e-01, 5.538293e-01, -8.318785e-01, 3.537289e-02
6.100000e+00, -7.971035e-01, -3.252611e-01, -5.087545e-01, 2.589364e-01, -9.430348e-01, 2.088956e-01
6.200000e+00, -7.539933e-01, -1.566973e-01, -6.379186e-01, -8.066215e-02, -9.432799e-01, 3.220508e-01
6.300000e+00, -6.331334e-01, -1.028119e-02, -7.739744e-01, -4.181994e-01, -8.335246e-01, 3.610347e-01
6.400000e+00, -4.674654e-01, 6.934727e-02, -8.812872e-01, -7.090483e-01, -6.274683e-01, 3.217669e-01
6.500000e+00, -2.543398e-01, 8.792895e-02, -9.631094e-01, -9.117239e-01, -3.551508e-01, 2.064643e-01
6.600000e+00, -4.230825e-02, 3.054578e-02, -9.986376e-01, -9.980323e-01, -5.289400e-02, 3.367066e-02
6.700000e+00, 1.393953e-01, -9.271392e-02, -9.858870e-01, -9.557103e-01, 2.384153e-01, -1.725572e-01
6.800000e+00, 2.896770e-01, -2.494476e-01, -9.240472e-01, -7.918254e-01, 4.747268e-01, -3.842486e-01
6.900000e+00, 3.524911e-01, -4.407828e-01, -8.255062e-01, -5.278006e-01, 6.257544e-01, -5.743326e-01
7, 3.359073e-01, -6.242893e-01, -7.052866e-01, -1.996694e-01, 6.713736e-01, -7.137153e-01
7.100000e+00, 2.511966e-01, -7.829146e-01, -5.691617e-01, 1.450452e-01, 6.035241e-01, -7.840412e-01
7.200000e+00, 1.013205e-01, -8.883307e-01, -4.478870e-01, 4.602269e-01, 4.337700e-01, -7.746192e-01
7.300000e+00, -9.630301e-02, -9.292594e-01, -3.566549e-01, 7.016159e-01, 1.832237e-01, -6.885958e-01
7.400000e+00, -3.008556e-01, -9.048213e-01, -3.013044e-01, 8.360370e-01, -1.130598e-01, -5.368982e-01
7.500000e+00, -5.090526e-01, -8.081149e-01, -2.963374e-01, 8.452341e-01, -4.121029e-01, -3.402214e-01
7.600000e+00, -6.737274e-01, -6.609525e-01, -3.305045e-01, 7.274545e-01, -6.745655e-01, -1.255841e-01
7.700000e+00, -7.641622e-01, -4.876448e-01, -4.222068e-01, 4.993896e-01, -8.630652e-01, 7.568649e-02
7.800000e+00, -7.965105e-01, -2.911428e-01, -5.299121e-01, 1.920695e-01, -9.524756e-01, 2.364309e-01
7.900000e+00, -7.393157e-01, -1.193636e-01, -6.626950e-01, -1.517393e-01, -9.294200e-01, 3.363832e-01
8, -6.068884e-01, 5.776919e-03, -7.947660e-01, -4.839537e-01, -7.979197e-01, 3.593229e-01
8.100000e+00, -4.189472e-01, 6.241672e-02, -9.058628e-01, -7.598220e-01, -5.753813e-01, 3.026664e-01
8.200000e+00, -2.059101e-01, 6.975867e-02, -9.760813e-01, -9.402021e-01, -2.919769e-01, 1.754123e-01
8.300000e+00, -9.911610e-03, 1.310342e-02, -9.998650e-01, -9.999279e-01, 9.793804e-03, -6.950990e-03
8.400000e+00, 1.855073e-01, -1.184611e-01, -9.754763e-01, -9.316508e-01, 2.919704e-01, -2.162872e-01
8.500000e+00, 3.079652e-01, -2.885476e-01, -9.065858e-01, -7.430576e-01, 5.147913e-01, -4.276159e-01
8.600000e+00, 3.577918e-01, -4.793717e-01, -8.013662e-01, -4.632113e-01, 6.444549e-01, -6.083692e-01
8.700000e+00, 3.317811e-01, -6.534662e-01, -6.803700e-01, -1.280870e-01, 6.666031e-01, -7.343256e-01
8.800000e+00, 2.313661e-01, -8.114199e-01, -5.367191e-01, 2.134696e-01, 5.771724e-01, -7.882276e-01
8.900000e+00, 6.876880e-02, -9.006209e-01, -4.291304e-01, 5.176598e-01, 3.861477e-01, -7.634908e-01
9, -1.412081e-01, -9.279695e-01, -3.448665e-01, 7.388932e-01, 1.239121e-01, -6.623313e-01
9.100000e+00, -3.503868e-01, -8.917073e-01, -2.865085e-01, 8.485935e-01, -1.751615e-01, -4.992068e-01
9.200000e+00, -5.404067e-01, -7.868419e-01, -2.980610e-01, 8.305059e-01, -4.718773e-01, -2.959590e-01
9.300000e+00, -6.935853e-01, -6.287467e-01, -3.515921e-01, 6.875059e-01, -7.215490e-01, -8.186966e-02
9.400000e+00, -7.800957e-01, -4.437940e-01, -4.410188e-01, 4.401656e-01, -8.908032e-01, 1.128000e-01
9.500000e+00, -7.875639e-01, -2.561067e-01, -5.604930e-01, 1.226744e-01, -9.569336e-01, 2.631143e-01
9.600000e+00, -7.165635e-01, -9.861434e-02, -6.905157e-01, -2.228096e-01, -9.106183e-01, 3.480376e-01
9.700000e+00, -5.676192e-01, 2.181933e-02, -8.230020e-01, -5.485651e-01, -7.574170e-01, 3.541128e-01
9.800000e+00, -3.735364e-01, 7.519027e-02, -9.245631e-01, -8.064626e-01, -5.200110e-01, 2.814367e-01
9.900000e+00, -1.664975e-01, 7.100594e-02, -9.834819e-01, -9.631195e-01, -2.293075e-01, 1.407797e-01
10, 4.322556e-02, -2.317451e-02, -9.987965e-01, -9.961734e-01, 7.197022e-02, -4.958650e-02
1.010000e+01, 2.125356e-01, -1.603668e-01, -9.639041e-01, -9.015738e-01, 3.439464e-01, -2.624223e-01
1.020000e+01, 3.305207e-01, -3.268308e-01, -8.854025e-01, -6.915594e-01, 5.499393e-01, -4.683079e-01
